id,name,publisher,studio,created
1,Virtual,Heidenreich-Hartmann,Okuneva and Sons,2004-05-25T05:08:14Z
2,productivity,"Frami, Labadie and Bartoletti",Carroll and Sons,2015-07-04T08:15:48Z
3,Function-based,Larson-Feil,"Aufderhar, Rolfson and Murray",2004-05-24T02:21:27Z
4,systemic,Corkery Group,"Skiles, Hoeger and Lowe",2009-09-15T07:56:04Z
5,throughput,"Wyman, Stark and Fahey","Murazik, Wisozk and Kuhn",2013-09-28T23:40:32Z
6,Organic,"Leffler, Collier and Lemke",Thompson Inc,2006-10-06T22:24:27Z
7,zero tolerance,Reynolds-Simonis,"Ondricka, Murray and Leannon",2006-02-15T04:04:49Z
8,De-engineered,Kemmer Group,Roob Inc,2009-01-28T07:56:38Z
9,executive,Quigley and Sons,Greenfelder-Bruen,2007-08-14T00:27:54Z
10,Cross-group,Macejkovic and Sons,Schuppe-Swaniawski,2020-02-08T09:33:09Z
11,Adaptive,Smitham-Pagac,"Purdy, Hermann and Bashirian",1999-11-03T13:30:43Z
12,exuding,"Terry, Carroll and Goyette","Huels, Bartell and Herzog",2012-11-06T16:04:02Z
13,service-desk,Graham and Sons,"Swaniawski, Wisoky and Kulas",2003-07-24T04:39:50Z
14,open system,"Wilderman, Renner and Kreiger",Effertz Group,2017-04-18T16:36:41Z
15,Grass-roots,Kerluke-Gusikowski,"Weber, Bogan and Watsica",2014-07-14T00:34:44Z
16,encoding,Armstrong and Sons,Schaden-Sauer,2013-02-10T05:20:03Z
17,Open-architected,"Bartell, Satterfield and Nicolas","Monahan, Dickens and Rempel",2018-05-10T21:36:38Z
18,Organized,Block-Bosco,Bashirian-Flatley,2016-12-30T02:11:50Z
19,discrete,Becker-Hermann,Kertzmann-Kertzmann,2003-01-16T19:46:32Z
20,Integrated,Rohan and Sons,Zulauf-Halvorson,2011-01-26T09:30:48Z
21,eco-centric,"Hintz, Wiza and Boyle",Kuhn-Sipes,2009-03-29T15:52:09Z
